"bin_num","bin_value","mean_prediction","standard_error","variable"
"           1"," -4.88130579","0.5639579312","0.0135272936","credit_score"
"           2","-4.542351178","0.5418353223","0.0135965562","credit_score"
"           3","-4.203396565","0.5196150973","0.0136408324","credit_score"
"           4","-3.864441953","0.4974347717","0.0136638395","credit_score"
"           5","-3.525487341","0.4754629521","0.0136671936","credit_score"
"           6","-3.186532729","0.4538635545","0.0136507351","credit_score"
"           7","-2.847578117","0.4327700806","0.0136136203","credit_score"
"           8","-2.508623504","0.4122773212","0.0135554456","credit_score"
"           9","-2.169668892","0.3924490821","0.0134770671","credit_score"
"          10"," -1.83071428","0.3733333952","0.0133805602","credit_score"
"          11","-1.491759668","0.3549695448","0.0132678473","credit_score"
"          12","-1.152805055","0.3373742287","0.0131386027","credit_score"
"          13","-0.813850443","0.3205111921","0.0129889063","credit_score"
"          14","-0.474895831","0.3042640762","0.0128115162","credit_score"
"          15","-0.135941219","0.2884311522","0.0125973769","credit_score"
"          16","0.2030133934","0.2727467279","0.0123372922","credit_score"
"          17","0.5419680057","0.2569194377","0.0120228431","credit_score"
"          18","0.8809226179"," 0.240673562","0.0116466884","credit_score"
"          19","1.2198772301","0.2237892265","0.0112034083","credit_score"
"          20","1.5588318423","0.2061461401","0.0106914361","credit_score"
"           1","-0.831945445","0.3003773682","0.0129600963","amount"
"           2","-0.640378075","0.2972259994","0.0129192854","amount"
"           3","-0.448810705"," 0.294087953"," 0.012876848","amount"
"           4","-0.257243334","0.2909605665","0.0128326952","amount"
"           5","-0.065675964","0.2878410723"," 0.012786736","amount"
"           6","0.1258914065","0.2847266098","0.0127388782","amount"
"           7","0.3174587769","0.2816142399","0.0126890295","amount"
"           8","0.5090261473","0.2785009613","0.0126370981","amount"
"           9","0.7005935177","0.2753837303"," 0.012582994","amount"
"          10","0.8921608881","0.2722594814","0.0125266296","amount"
"          11","1.0837282585","0.2691251499","0.0124679207","amount"
"          12","1.2752956288","0.2659776967","0.0124067872","amount"
"          13","1.4668629992"," 0.262814133","0.0123431543","amount"
"          14","1.6584303696"," 0.259631547","0.0122769528","amount"
"          15","  1.84999774","0.2564271308","0.0122081202","amount"
"          16","2.0415651104","0.2531982075","0.0121366011","amount"
"          17","2.2331324808","0.2499422585","0.0120623483","amount"
"          18","2.4246998511","0.2466569501","0.0119853229","amount"
"          19","2.6162672215","  0.24334016","0.0119054951","amount"
"          20","2.8078345919","0.2399900019","0.0118228447","amount"
"           1","-0.963487723","0.4129131307","0.0131130169","net_worth"
"           2","-0.663478811","0.3393837505","0.0127943669","net_worth"
"           3","-0.363469898","0.2751115086","0.0120202715","net_worth"
"           4","-0.063460985","0.2141643877","0.0107723256","net_worth"
"           5","0.2365479275","0.1541886669","0.0090345651","net_worth"
"           6","0.5365568402","0.0993632611"," 0.007025469","net_worth"
"           7","0.8365657529","0.0564043155"," 0.004981703","net_worth"
"           8","1.1365746656","0.0275782016","0.0031508294","net_worth"
"           9","1.4365835784","0.0118601538","0.0019054232","net_worth"
"          10","1.7365924911","0.0047405963","0.0011341391","net_worth"
"          11","2.0366014038","0.0017770441","0.0006212146","net_worth"
"          12","2.3366103165","0.0005941435","0.0002637384","net_worth"
"          13","2.6366192293","0.0001735825","0.0000844383","net_worth"
"          14"," 2.936628142","0.0000471756","0.0000235788","net_worth"
"          15","3.2366370547","0.0000125133","6.3005004E-6","net_worth"
"          16","3.5366459674","3.2964654E-6","1.6630245E-6","net_worth"
"          17","3.8366548801","8.6681474E-7"," 4.375218E-7","net_worth"
"          18","4.1366637929","2.2782075E-7"," 1.150073E-7","net_worth"
"          19","4.4366727056","5.9869384E-8","3.0224028E-8","net_worth"
"          20","4.7366816183","1.5732644E-8"," 7.942429E-9","net_worth"
"           1","           0"," 0.275857798","0.0125184526","job_in_education"
"           2","0.0526315789","0.2795780412","0.0125822334","job_in_education"
"           3","0.1052631579","0.2832955609","0.0126432413","job_in_education"
"           4","0.1578947368","0.2870143829","0.0127016172","job_in_education"
"           5","0.2105263158","0.2907384246","0.0127574943","job_in_education"
"           6","0.2631578947","0.2944714881","0.0128109976","job_in_education"
"           7","0.3157894737","0.2982172577","0.0128622429","job_in_education"
"           8","0.3684210526","0.3019793002","0.0129113369","job_in_education"
"           9","0.4210526316"," 0.305761066","0.0129583774","job_in_education"
"          10","0.4736842105","0.3095658921","0.0130034533","job_in_education"
"          11","0.5263157895","0.3133970039","0.0130466456","job_in_education"
"          12","0.5789473684","0.3172575175","0.0130880275","job_in_education"
"          13","0.6315789474","0.3211504405","0.0131276657","job_in_education"
"          14","0.6842105263","0.3250786716","0.0131656205","job_in_education"
"          15","0.7368421053","0.3290449993","0.0132019466","job_in_education"
"          16","0.7894736842","0.3330520994","0.0132366939","job_in_education"
"          17","0.8421052632","0.3371025312","0.0132699078","job_in_education"
"          18","0.8947368421","0.3411987321","0.0133016297","job_in_education"
"          19","0.9473684211","0.3453430128","0.0133318973","job_in_education"
"          20","           1","0.3495375496","0.0133607454","job_in_education"
"           1","           0"," 0.292842356","0.0128745852","job_in_hospitality"
"           2","0.0526315789","0.2900936816","0.0128343365","job_in_hospitality"
"           3","0.1052631579","0.2873482252","0.0127925096","job_in_hospitality"
"           4","0.1578947368","0.2846037475","0.0127490618","job_in_hospitality"
"           5","0.2105263158","0.2818580289","0.0127039511","job_in_hospitality"
"           6","0.2631578947","0.2791088776","0.0126571366","job_in_hospitality"
"           7","0.3157894737","0.2763541383","0.0126085786","job_in_hospitality"
"           8","0.3684210526","0.2735917013","0.0125582389","job_in_hospitality"
"           9","0.4210526316","0.2708195117","0.0125060816","job_in_hospitality"
"          10","0.4736842105","0.2680355793","0.0124520723","job_in_hospitality"
"          11","0.5263157895","0.2652379874","0.0123961795","job_in_hospitality"
"          12","0.5789473684","0.2624249028","0.0123383737","job_in_hospitality"
"          13","0.6315789474","0.2595945847","0.0122786281","job_in_hospitality"
"          14","0.6842105263"," 0.256745393","0.0122169185","job_in_hospitality"
"          15","0.7368421053","0.2538757969","0.0121532231","job_in_hospitality"
"          16","0.7894736842","0.2509843821","0.0120875228","job_in_hospitality"
"          17","0.8421052632","0.2480698577","0.0120198012","job_in_hospitality"
"          18","0.8947368421","0.2451310624"," 0.011950044","job_in_hospitality"
"          19","0.9473684211","0.2421669698","0.0118782398","job_in_hospitality"
"          20","           1","0.2391766937","0.0118043797","job_in_hospitality"
