"account_id","age","amount","at_current_job_1_year","credit_history_mos","credit_score","debt_to_income","gender","Intercept","job_in_education","job_in_hospitality","net_worth","num_dependents","num_transactions"
"                                   12666","-0.001460698","0.0032859842","0.0293440181","  0.02440846","0.0432534348","0.0028461143","0.0073012056","0.7563619539","0.0341862158","0.0025948938"," 0.083542546","-0.003939187"," 0.016978584"
"                                   13608","0.0051286598","0.0038783082","0.0387522156","0.0125076768","0.0137725838","0.0028437147","-0.021326499"," 0.664750104","0.0394902413","0.0030902593","0.1065280729"," 0.109230432","0.0182517145"
"                                   14229","-0.000939048","0.0232712964","0.0860408274","-0.072716592","-0.019596167","-0.129070185","0.0381164645","0.3951931726","-0.043699363","  0.01607998","-0.019759976","0.1253066703","-0.118217248"
"                                   14730","0.0026157302","0.0308400125","0.1830754618","-0.041958343","0.0568241316"," 0.126113338","0.0570816038","0.0946026099","-0.018488047","0.0254599144","0.2314777818","0.1462188512"," -0.07039832"
"                                     432","0.0048110204","0.0038328509","-0.049420724"," 0.040622149","-0.014264853","0.0151791437","-0.020491413","0.2280076303","-0.006952425","-0.026511181","-0.162469618","-0.012999071","0.0006631062"
"                                    1632","0.0091626245","0.0057373909","-0.049379748","-0.007194144","-0.012770554","-0.015469703","-0.020482917","0.3616569549","-0.006948792","0.0022334337","-0.149587343","-0.123910337","0.0069531348"
"                                    3018","0.0026163285","0.0208827699","0.1688986367","0.0504750676","0.1383454566","0.0015996135","-0.042226947","0.1824826619","-0.012351569","0.0177952102","0.2460080464","0.0641995077","0.0798572476"
"                                    3381","-0.002449076"," 0.005793686","-0.075075565","0.0044518593","-0.016873123","-0.016248414","0.0071235317","0.1895254536","-0.009397812","0.0024790199","-0.114516608","0.0389856946","-0.009168482"
"                                    3936","0.0051214344","0.0007180716","-0.049379748"," 0.000511575","-0.005782125","-0.016262509","0.0065592712","0.2367629032","-0.006948792","0.0022334337","-0.161204968","-0.012991945","0.0006633974"
"                                    4854","-0.007214211","0.0041707725","-0.080626147"," -0.02466228","-0.004985549","0.0009006193","0.0072630316","0.1993436793","-0.009976374","0.0025397433","0.0348678887","-0.120926659","0.0050817618"
"                                    5547","-0.003337555","-0.000698931","-0.049379748","-0.016581603","-0.025439246","-0.014285263","0.0065592712"," 0.254561912","-0.006948792","0.0022334337","-0.151691587","0.0118884406","-0.006880333"
"                                    7626","0.0311217904"," 0.028522767","0.0724617806","-0.122911518","-0.069694332","-0.061247454","0.0318449159","0.3701046305","-0.043450047","0.0133043848","0.0615299393","-0.064854622"," -0.02708883"
"                                    8892","-0.000187349","-0.008823071"," -0.04938952","0.0142486794","-0.025755645","0.0014188678","0.0065594637","0.2281188611","-0.006949659","0.0022335175","-0.165303317","0.0118883998","-0.008057651"
"                                    9834"," 0.001066131","0.0039434251","-0.049379832"," -0.01004584","-0.004059849","-0.015865797","-0.020482934","0.3553361655","  -0.0069488"," -0.02649888"," -0.10210707","-0.107895142","-0.017061562"
"                                   10415","-0.005465342","-0.001793452"," -0.05594938","0.0151493264","-0.030554365","-0.003679192"," -0.02187484","  0.14374848","-0.007541674","-0.028517056"," -0.05375587","0.0378366632","0.0134861378"
"                                   10619","-0.003415024","0.0039113225","0.0222044553","-0.012003651","-0.000042483","-0.003201496","0.0066328663"," 0.315836238","-0.007278461","  -0.0276195","-0.342588125","0.0376788682","0.0104883731"
"                                   11123","0.0139171819"," 0.011760501","0.0854022907","-0.015281821","0.1340947483","0.0116314389","0.0146744286","0.5137963138","-0.007960781","0.0061580309","0.1526399966","0.0339084124","0.0301440135"
